valence,s_ns,id,message
negative,social,411,"Being sedentary can shrink the brain's memory areas with age. When you go out with friends or family, visit places where you can walk around, like a mall, park, or museum, to stimulate your brain."
negative,social,412,Inactive lifestyle choices like sitting for long periods of time are barriers between you and a long life. Don't voluntarily give up precious time with loved ones by making poor health decisions.
negative,social,413,Physical inactivity will make you lose independence. A lack of freedom and autonomy can render you unable to contribute to your family and community.
negative,social,414,A weak body increases your risk for more severe diseases. You will miss out on fun moments with your loved ones later on.
negative,social,415,"If you continue to be sedentary, your bones will weaken faster as you get older. This makes it more difficult to do things you like, such as spending time out with your family."
negative,social,416,"People who are not physically active at least twice a week have a higher risk of dementia. Think about ways people close to you can help you exercise, and ask them!"
negative,social,417,Inactive people tend to live shorter lives. That means they also have less time to spend with the people they care about most.
negative,social,418,The ability to walk is a gift. Make sure to stay active so that you will never lose it. Loss of mobility can make it difficult for you to stay connected with friends and family as you age.
negative,social,419,"A lack of activity will decrease your stamina and weaken muscles. Eventually, you'll miss social outings with friends and family."
negative,social,420,Physical inactivity can lead to low bone density and osteoporosis. Being confined to a wheelchair will make it harder for you to get around and spend time with loved ones.
